ID;ANTIGUEDAD;EDAD;ESTADO_CIVIL;HIJOS;AREA;ID_CAT;N_CATEG;PUESTO;SUELDO
1757;2;51;C;1;GERENCIA GENERAL;GM;GERENTE GENERAL;GERENTE GENERAL;94128
597;23;55;C;5;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;25129
789;12;48;C;2;CALIDAD;F;Cat : F;VOLANTE;24474
791;12;34;C;0;PRODUCCION;F;LIDER DE EQUIPO;JEFE;44344
804;11;33;C;3;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;34235
816;10;40;C;3;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;26401
820;10;37;K;2;CALIDAD;E;Cat : E;VOLANTE;26682
851;9;41;C;1;CALIDAD;F;Cat : F;VOLANTE;23851
864;9;33;C;2;LOGISTICA;F;Cat : F;ENCARGADO;25811
867;9;28;S;0;ALMACEN;G;Cat : G;TEC. MANTENIMIENTO;25877
872;9;43;K;1;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;31150
892;8;41;C;1;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;25709
898;8;30;C;1;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;22163
918;8;30;C;2;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;27744
967;7;42;C;3;LOGISTICA;F;LIDER DE EQUIPO;LIDER DE EQUIPO;27952
972;7;34;K;2;CALIDAD;F;Cat : F;VOLANTE;22380
974;7;44;C;4;LOGISTICA;F;LIDER DE EQUIPO;LIDER DE EQUIPO;28366
980;7;45;K;2;ALMACEN;F;Cat : F;ENCARGADO;27665
984;7;27;S;0;CALIDAD;F;Cat : F;VOLANTE;23674
1085;40;58;C;2;ALMACEN;J;JEFE;JEFE;61994
1091;39;58;C;2;PRODUCCION;C;Cat : C;LIDER DE EQUIPO;26954
1138;35;58;C;4;ALMACEN;G;Cat : G;TEC. MANTENIMIENTO;36737
1303;29;61;C;2;DESARROLLO;F;Cat : F;INGENIERO;36737
1310;32;51;C;1;PRODUCCION;F;LIDER DE EQUIPO;INGENIERO;36737
1335;34;54;C;2;CALIDAD;E;ASIS.A CLIENTES SR.;LIDER DE EQUIPO;41410
1341;28;52;C;1;COMPRAS;D;Cat : D;ANALISTA;34523
1368;40;63;C;2;PRODUCCION;F;LIDER DE EQUIPO;INGENIERO;37196
1415;18;48;C;2;LOGISTICA;F;Cat : F;ANALISTA;38010
1423;3;43;K;2;PRODUCCION;FC;PROFESIONAL;JEFE;39282
1427;17;53;C;0;DESARROLLO;F;Cat : F;INGENIERO;42824
1428;17;43;C;2;DESARROLLO;F;LIDER DE EQUIPO;INGENIERO;41196
1429;17;43;S;4;DESARROLLO;F;LIDER DE EQUIPO;TEC. DESARROLLO;37618
1436;17;48;C;1;ALMACEN;F;LIDER DE EQUIPO;LIDER DE EQUIPO;31732
1437;17;40;K;4;LOGISTICA;F;LIDER DE EQUIPO;JEFE;37876
1440;28;49;C;2;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;40680
1446;18;49;K;3;CALIDAD;F;LIDER DE EQUIPO;LIDER DE EQUIPO;34700
1453;16;37;C;2;PRODUCCION;F;LIDER DE EQUIPO;INGENIERO;37499
1454;17;41;C;2;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;38410
1455;37;62;C;3;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;36692
1456;35;53;C;3;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;36667
1458;21;51;C;4;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;36481
1472;18;42;C;3;PRODUCCION;H;Cat : H;TEC. MANTENIMIENTO;30266
1474;26;52;C;3;PRODUCCION;H;Cat : H;TEC. MANTENIMIENTO;32551
1475;26;65;C;2;PRODUCCION;H;Cat : H;TEC. MANTENIMIENTO;32411
1495;9;44;C;1;CALIDAD;F;Cat : F;VOLANTE;27124
1499;9;51;C;2;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;33332
1504;37;58;C;2;COMPRAS;J;JEFE;JEFE;53115
1604;9;44;S;1;DESARROLLO;C;Cat: C;INGENIERO;41873
1606;9;34;C;1;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;28784
